作品id,作品名,人物id,名字,朝代,时期,国家,文体,写作时间,创作背景,内容简介,相关作品,相关人物,相关地点,相关事件,诗歌全文,sentiment1,sentiment2
402,《采莲曲》,94,萧纲,南朝,梁,,乐府诗,,萧纲此诗则袭用旧题，用清丽浅显的语言，描绘诗人泛舟湖上采摘莲蓬的图景，表现了他悠然闲适的情趣。,《采莲曲》写出了江南美丽风光，全诗情韵流动。,,,,,"【其一】
晚日照空矶，采莲承晚晖。
风起湖难度，莲多摘未稀。
棹动芙蓉落，船移白鹭飞。
荷丝傍绕腕，菱角远牵衣。
【其二】
常闻蕖可爱，采撷欲为裙。
叶滑不留綖，心忙无假薰。
千春谁与乐，唯有妾随君。",思,悲
452,《采菱曲》,123,徐勉,南朝,梁,,五言古体诗,,诗人仿民间的棹歌，在内容上的特点便是强化了棹女情郎式的爱情主题，从而细致描写了采菱女的相思心理。,,,,,,"相携及嘉月，采菱渡北渚。
微风吹棹歌，日暮相容与。
采采不能归，望望方延伫。
傥逢遗佩人，预以心相许。",思,忧
3361,《凤凰台》,713,梁栋,宋,宋,,七言律诗,,,,,,凤凰台,,白发久孤鹦鹉杯，碧梧自老凤凰台。管夷吾亦仅如许，李谪仙今安在哉。城郭是非秋雨外，江山形胜暮潮来。小留只等中秋月，且放青冥万里开。,思,乐
3882,《游女曲》,97,萧衍,南朝,梁,,乐府诗,,,,,,,,氛氲兰麝体芳滑。容色玉耀眉如月。珠佩婐女巵戏金阙。戏金阙。游紫庭。舞飞阁。歌长生。,乐,思
1731,《金陵杂咏》,0,査慎行,清,清初;清中,,七言律绝,,,,,,,,"其一
沙漠真人本至尊，青蛇罢祀出梧垣。
孝陵松柏犹樵牧，元庙何妨有泪痕。
其二
想像承平乐事留，履綦陈迹也风流。
轻烟翠柳今何处，十六门如十六楼。
其三
洒扫他时属内官，钟声好句逼人寒。
御沟尽有流红事，尘壁伤心是媚兰。
其四
夜半传呼聚宝门，金蟾啮锁内城昏。
武皇大有南迁意，故遣銮舆宿报恩。
其五
蒙溪石刻表南都，形势居然屹壮图。
白马青丝他日事，仓皇曾补一毫无。
其六
妙选三家入后宫，抱来马上石榴红。
胭脂不到长城外，何必明妃怨画工。
其七
武定桥栏玉磬如，泠泠七尺响清虚。
蜀桐不发岐阳扣，等是昆冈劫火馀。
其八
宗伯奁清世不知，菱花初照月临池。
点妆巾帽俱新样，不用喧传镜背诗。
其九
杏村玉树接春华，太史诗留典客家。
不许绣毬誇独绝，凤台还有紫微花。
其十
薜鸭袁羊匕箸馀，江鲜风味只如初。
年年八月随潮上，柳贯红腮燕子鱼。
其十一
粉竹香尘调不齐，和来雁字斗高低。
即从红豆徵奇丽，便压元人十四题。
其十二
顿老琵琶擅教坊，供筵法曲别歌章。
故须小技通文义，垂老知音付漫郎。
其十三
雷雨随弦四座惊，秀之绝调自泠泠。
隔帘传语催停板，头白扶来制泪听。
其十四
昭文小楷法黄庭，绣佛新诗玉琢成。
不及锦云名句好，断肠芳草断肠莺。
其十五
一月花名簇锦筵，旧家手帕亦因缘。
曾陪盒子春檠会，冷落飘灯四十年。
其十六
鳌足盘龙气象吞，东华扶出尚惊魂。
书生小胆当前破，何取纷纷出大言。
其十七
后村傲兀自奇才，觅句曾过此地来。
春草不生山路白，树阴浓罩雨花台。
其十八
卧游宗炳已伤神，画社秦淮点染新。
怪得江山生色少，少冈老死更无人。
其十九
钞库街头第一坊，游人消渴试新尝。
近来曲巷添茶社，谁记新都是滥觞。
其二十
名士年来已可嗔，骑驴腰扇怕逢人。
李昭竹骨王郎画，难掩西风障扇尘。",乐,思
3791,《金陵杂咏（选三首）》,455,王友亮,清,清,,诗,,,一、二怀古，三咏物。,,李白,落星墩、静海寺、姚坊门,,"其一：落星冈怀李白
骑鲸仙人钓鳌客，小驻金陵饮春色。鹭洲寂寞凤台荒，醉卧落星冈畔石。淋漓倒著宫锦袍，不独诗豪更酒豪。欲唤东风吹渌水，大江尽化为醇醪。山川佳丽仍如绘，我来望古遥相酹。双屐曾留藓字中，一旗尚曳禽言外。海东飞上白玉盘，无复醉影凌珊珊。光芒剩得诗千首，尚可高吟落星斗。
其二：静海寺
舣棹秋江十里长，招提结伴且寻将。凭谁寻路蹲狮子，怪尔开门叫凤凰。海外灵槎曾揽胜，岩端健笔自流芳。老僧不解观空旨，对客犹然说郑铛。
其三：姚坊门枣
新秋佳果说姚坊，火齐堆盘喜乍尝。甜到十分知过雨，艳生半颊为迎阳。戏抛恰可同心赤，饱掇何须患齿黄。记得吕家山畔路，薰风先递枣花香。",思,悲
790,《乌夜啼（林花谢了春红）》,710,李煜,南唐,南唐,,词,,这首词作于北宋太祖开宝八年（公元975年）李煜被俘之后。待罪被囚的生活使他感到极大的痛苦。他给金陵（今江苏南京）旧宫人的信说“此中日夕，只以眼泪洗面”。此词即写于作者身为阶下囚时期。,此词将人生失意的无限怅恨寄寓在对暮春残景的描绘中，是即景抒情的典范之作。,,,,,"林花谢了春红，太匆匆！
常恨朝来寒重晚来风！
胭脂泪，留人醉，几时重？
自是人生长恨水长东！",悲,思
794,《乌夜啼》,710,李煜,南唐,南唐,,词,,开宝八年（公元975年），李煜亡家败国，肉袒出降，被囚禁待罪于汴京。宋太祖赵匡胤因李煜曾守城相拒，封其为“违命侯”。李煜屈辱地过起了囚徒生活。本首词就是李煜降宋后生活实况和囚居心境。,全词比较鲜明地体现了李煜后期作品的特色：情感真实，清新自然。尤其是这首词，作者对自己的苦痛毫不掩饰，把自己的人生感慨明白写出，不假饰，不矫情，简洁质朴，有现实感。,,,,,"昨夜风兼雨，帘帏飒飒秋声。烛残漏断频欹枕，起坐不能平。　
世事漫随流水，算来一梦浮生。醉乡路稳宜频到，此外不堪行。",悲,思
739,《游栖霞寺》,819,张翚,唐,唐,,五言律诗,,,,,,,,跻险入幽林，翠微含竹殿。泉声无休歇，山色时隐见。潮来杂风雨，梅落成霜霰。一从方外游，顿觉尘心变。,乐,思
3510,《游栖霞寺》,742,皮日休,唐,唐,,五言律诗,,晚唐末世政治黑暗、仕途坎坷，诗人倾向隐逸。,描写栖霞寺的空寂，歌颂隐逸之意。,,,栖霞寺,,"不见明居士，空山但寂寥。
白莲吟次缺，青霭坐来销。
泉冷无三伏，松枯有六朝。
何时石上月，相对论逍遥。",思,乐
3899,《入朝曲》,115,谢朓,南朝,齐,,五言古体诗,,公元490年谢脁27岁，青年诗人对功名事业和前途充满了信心。这年八月，随王萧子隆为荆州刺史，谢脁迁镇西功曹并转文学。赴荆州途中，他奉随王教写下了《鼓吹曲》十首。这首《入朝曲》便是其中的一篇。,刻画了帝都金陵（今南京）的富丽繁华和心系功名的进取精神，既是一曲颂歌，也是一幅壮丽的图画。不管是何种情感意趣，都可以借山川景物来表现，而且达到情景交融的境界。造境宏伟高敞，措笔秀丽工整，语言清鲜流丽，反映出了青年谢朓积极进取的精神品格和非同寻常的艺术功力。首联总揽形势，虚笔入篇。中间三联承“帝王州”写来，具体描绘当今“帝王州”的形势。诗人特别注重视角的变化。沿巍峨帝都顺势望去，但见城墙环绕着蜿蜒曲折的护城河，绿波荡漾，风光旖旎；抬头远眺，又见层层高楼，鳞次栉比，在日光照耀之下，显得灿烂辉煌。这是二联，是写远眺。三联则取近观。最后一联收束全篇。古人旧例，功成名就，登台受赏。,《鼓吹曲》,萧子隆,荆州,谢朓赴荆州,"江南佳丽地，金陵帝王州。
逶迤带绿水，迢递起朱楼。
飞甍夹驰道，垂杨荫御沟。
凝笳翼高盖，叠鼓送华辀。
献纳云台表，功名良可收。",乐,怒
93,《桃叶歌（三首）》,83,王献之,东晋,东晋,,五言古体诗,,,,《古今乐录》,桃叶,,,"【其一】
桃叶映红花，无风自婀娜。
春花映何限，感郎独采我。
【其二】
桃叶复桃叶，桃树连桃根。
相怜两乐事，独使我殷勤。
【其三】
桃叶复桃叶，渡江不用楫。
但渡无所苦，我自迎接汝。",思,悲
3132,《桃叶歌》,351,顾炎武,明,明,,词,,,,《古今乐录》,,越州、桃叶渡、江南,,"桃叶歌，歌宛转，旧日秦淮水清浅，此曲之兴自早晚。
青溪桥边日欲斜，白土冈下驱虞车，越州女子颜如花。
中官采取来天家，可怜马上弹琵琶。三月桃花四月叶，巳报北兵屯六合。
两宫塞上行，日逐江东猎。桃叶复桃根，残英委白门。
相逢冶城下，犹有六朝魂。",思,悲
992,《台城》,829,张翥,元,元,,七言律诗,,张翥曾旅居金陵，历元之盛衰，故其诗多忧时伤乱之作。,以景结情，通过带有象征意味的景物渲染，传递出凄寒入骨的愁绝之情。,,,台城,,"运尽黄旗晋祚开，天星俄复坼三台。
方惊掘地双鹅起，已见浮江五马来。
草暗离宫碑仆土，雨残战地骨生苔。
当时一掬新亭泪，犹带寒潮日暮回。",乐,思
1645,《台城》,244,吴伟业,明,明末;清初,,七言律诗,,,,,,台城,,形胜当年百战收，子孙容易失神州。金川事去家还在，《玉树》歌残恨未休。徐邓功勋谁甲第，方黄骸骨总荒丘。可怜一片秦淮月，曾照降幡出石头。,悲,思
3422,《台城》,719,刘禹锡,唐,唐,,七言律绝,宝历二年（827年）,,《台城》构思着眼于古都皇权的象征，旧时宫苑所在，诗人以唐代已“万户千门成野草”之表象，诘问与追责当年陈后主作《玉树后庭花》醉生梦死、荒淫误国之史实，见微知著，洞若观火。,《金陵五题》、《西塞山怀古》、《金陵怀古》,,台城,刘禹锡在和州刺史任上,台城六代竞豪华，结绮临春事最奢。万户千门成野草，只缘一曲后庭花。,乐,喜
3472,《台城》,732,罗隐,唐,唐,,七言律诗,,,,,,台城,,晚云阴映下空城，六代累累夕照明。玉井已干龙不起，金瓯虽破虎曾争。亦知霸世才难得，却是蒙尘事最平。深谷作陵山作海，茂弘流辈莫伤情。,悲,思
3800,《台城》,781,韦庄,唐,唐,,七言律绝,,,凭吊六朝古迹、怀古。,,,台城,,江雨霏霏江草齐，六朝如梦鸟空啼。无情最是台城柳，依旧烟笼十里堤。,悲,思
3971,《台城》,824,张乔,唐,唐,,七言律绝,,自吴至陈六个短促的王朝，一个-一个衰败倾覆，那--个个哀怨相续的史实，那一道道无声的断壁颓垣，使多少骚人墨客为之感叹，反复吟咏。他们画金陵老木寒云，写往事-一片伤心。以“台城”为题者，前见刘禹锡，后有韦庄，“台城”一咏，各领风骚。张乔此首，同咏台城，“名”虽不及刘、韦，然亦写得颇有韵味，意蕴深长。,此诗描绘了晚唐时台城的荒凉情景。殿基长花树，雉堞绕渔樵，颇能发人想象，令人深思。,,,,,"宫殿余基长草花，景阳官树噪村鸦。
云屯雉堞依然在，空绕渔樵四五家。",乐,思
478,《玉树后庭花》,5,陈叔宝,南朝,陈,,乐府诗,,《后庭花》又叫《玉树后庭花》，以花为曲名，本来是乐府民歌中一种情歌的曲子。南北朝陈朝最后一个皇帝陈后主陈叔宝填上了新词。,《玉树后庭花》为宫体诗，被称为亡国之音。,《临春乐》,张贵妃、孔贵嫔,建康,,"丽宇芳林对高阁，新妆艳质本倾城。
映户凝娇乍不进，出帷含态笑相迎。
妖姬脸似花含露，玉树流光照后庭。
花开花落不长久，落红满地归寂中。",悲,忧
737,《玉树后庭花》,817,张祜,唐,唐,,乐府诗,,,,《临春乐》,,,,轻车何草草，独唱后庭花。玉座谁为主，徒悲张丽华。,思,悲
3978,《玉树后庭花（宝床香重春眠觉）》,0,张先,宋,宋,,词,,,此词为一首咏史吊古之作。词人登临昔日繁华绮丽，今日荒芜残败的台城，咏怀六朝末代帝王陈后主荒淫亡国的历史悲剧，感喟今昔，抒吊古之情。,《安陆词》,,,,"宝床香重春眠觉，魫窗难晓。新声丽色千人，歌后庭清妙。
青骢一骑来飞鸟，靓妆难好。至今落日寒蟾，照台城秋草。",思,喜
2009,《秦淮竹枝词》,377,纪映淮,清,明末;清初;清中,,七言律绝,,,,,,,,栖鸦流水点秋光，爱此萧疏树几行。不与行人绾离别，赋成谢女雪飞香。,思,悲
2528,《秦淮竹枝词》,519,周在浚,清,清,,七言律绝,,,,,,,,"布幔朱阑饰彩舟，少年箕踞放中流。三弦拨动《凉州》调，故老听来尽白头。
端阳节近说青溪，芳草门前踏作泥。到得秋来人寂寞，月明衰柳夜乌啼。
北人才得解征鞍，也学吴侬事事酸。金碗银盘都不用，素磁月下试龙团。",思,乐
